category,amt,gender,lat,long,Pop,AgeGroup,Time,merch_lat,merch_long,is_fraud
10,1,2,44,-72,1,1,3,44,-72,0
13,1,1,36,-89,1,2,3,36,-90,0
13,1,1,39,-77,3,2,3,39,-77,0
3,2,1,28,-83,3,2,3,27,-83,0
7,1,1,41,-74,3,1,3,41,-74,0
12,1,1,33,-111,1,2,3,32,-112,0
13,1,2,34,-118,3,2,3,34,-118,0
14,1,2,42,-74,1,1,3,42,-74,0
12,1,2,41,-74,1,3,3,41,-73,0
3,1,1,42,-109,2,2,3,42,-108,0
8,1,1,43,-97,1,2,3,44,-97,0
10,1,1,26,-82,3,2,3,27,-82,0
14,2,1,31,-95,1,3,3,31,-95,0
13,1,2,49,-108,1,2,3,48,-108,0
3,2,1,37,-86,1,1,3,36,-86,0
12,1,2,41,-74,3,2,3,41,-75,0
8,2,1,35,-92,1,2,3,34,-92,0
7,1,2,33,-97,1,2,3,32,-97,0
10,1,2,44,-93,1,2,3,44,-93,0
9,1,2,44,-88,1,2,3,44,-88,0
7,1,2,28,-83,3,1,3,29,-82,0
10,1,2,40,-80,1,1,3,40,-80,0
8,1,1,35,-99,1,2,3,35,-98,0
13,1,1,39,-94,1,1,3,39,-93,0
13,1,1,48,-122,1,2,3,49,-123,0
9,1,2,39,-80,1,2,3,38,-79,0
12,1,1,33,-106,1,1,3,34,-106,0
10,1,2,43,-75,1,3,3,43,-75,0
9,1,2,33,-87,3,2,3,34,-87,0
9,1,2,45,-85,1,2,3,46,-85,0
3,1,2,40,-74,1,2,3,41,-75,0
5,1,2,42,-72,1,2,3,42,-72,0
3,1,2,39,-85,1,2,3,39,-85,0
9,1,2,41,-97,1,2,3,41,-96,0
3,1,2,38,-80,1,2,3,39,-80,0
10,1,2,36,-91,1,3,3,35,-91,0
9,2,2,44,-88,1,2,3,43,-88,0
12,2,1,39,-78,1,2,3,40,-77,0
10,1,1,33,-82,1,2,3,34,-81,0
12,2,1,42,-84,1,2,3,42,-84,0
8,1,1,34,-91,1,1,3,35,-90,0
9,1,2,41,-82,2,2,3,40,-82,0
8,1,1,37,-79,1,2,3,38,-80,0
3,1,2,42,-83,2,2,3,43,-84,0
13,1,2,38,-76,1,2,3,38,-75,0
14,3,1,40,-75,3,2,3,39,-75,0
14,1,1,41,-99,1,2,3,41,-98,0
12,2,2,31,-86,1,3,3,31,-85,0
9,1,1,38,-93,1,2,3,38,-92,0
13,1,2,35,-106,1,2,3,35,-106,0
12,1,1,41,-89,1,3,3,41,-90,0
8,1,1,37,-94,1,2,3,37,-95,0
10,1,1,40,-83,1,1,3,40,-84,0
8,1,1,30,-97,1,2,3,29,-96,0
14,1,1,31,-95,1,3,3,31,-94,0
5,1,2,36,-86,3,2,3,36,-86,0
7,1,1,33,-87,1,2,3,33,-87,0
13,1,1,41,-88,1,1,3,42,-88,0
14,1,1,36,-98,1,3,3,37,-97,0
13,1,1,34,-112,3,2,3,34,-112,0
8,1,1,33,-96,1,2,3,33,-95,0
9,1,2,43,-71,1,2,3,43,-71,0
11,1,1,45,-71,1,2,3,44,-71,0
10,1,1,44,-116,2,2,3,44,-117,0
9,1,2,44,-70,1,1,3,44,-71,0
8,1,1,33,-97,3,2,3,32,-96,0
14,1,2,36,-106,1,2,3,37,-106,0
10,1,1,34,-97,2,2,3,34,-97,0
11,1,2,33,-98,1,2,3,33,-98,0
13,1,2,41,-96,1,3,3,41,-97,0
8,1,2,34,-118,3,2,3,34,-118,0
8,1,1,39,-83,1,2,3,39,-82,0
13,1,2,45,-86,1,2,3,44,-85,0
10,1,1,44,-123,3,2,3,43,-123,0
10,1,1,44,-98,1,3,3,44,-98,0
9,1,1,41,-74,3,1,3,41,-73,0
13,1,2,36,-120,1,2,3,36,-120,0
12,1,1,41,-101,1,2,3,41,-101,0
11,3,2,30,-93,1,2,3,31,-93,0
13,1,1,28,-82,3,2,3,29,-83,0
13,1,1,38,-99,1,2,3,39,-99,0
3,1,1,39,-80,1,2,3,39,-79,0
12,1,1,40,-99,1,3,3,40,-98,0
14,2,1,42,-96,1,1,3,42,-96,0
3,1,1,41,-80,1,1,3,42,-80,0
9,1,1,37,-83,1,1,3,37,-83,0
14,2,2,34,-86,1,1,3,33,-86,0
3,2,2,31,-84,1,1,3,32,-84,0
12,1,1,28,-83,3,2,3,29,-82,0
11,1,1,41,-80,1,3,3,42,-80,0
9,1,2,29,-95,2,1,3,29,-95,0
8,1,1,37,-86,1,1,3,38,-86,0
1,1,1,37,-86,1,1,3,37,-86,0
7,1,1,27,-80,2,2,3,27,-80,0
9,1,2,40,-79,1,2,3,39,-79,0
8,1,1,39,-84,2,1,3,40,-84,0
13,1,2,49,-108,1,2,3,49,-109,0
8,1,1,45,-75,1,1,3,45,-74,0
12,1,2,38,-81,1,3,3,37,-81,0
9,1,1,32,-101,1,2,3,32,-100,0
3,1,2,40,-80,1,1,3,39,-80,0
9,1,2,43,-86,3,1,3,43,-86,0
13,2,1,43,-109,1,2,3,43,-109,0
3,2,1,40,-84,3,2,3,40,-84,0
14,1,2,36,-90,1,2,3,36,-90,0
12,1,1,41,-89,1,3,3,41,-90,0
9,1,1,34,-117,2,2,3,33,-118,0
14,2,2,25,-81,2,2,3,25,-81,0
10,1,2,41,-86,1,3,3,41,-85,0
7,2,1,37,-79,1,2,3,36,-79,0
12,1,1,48,-117,1,3,3,48,-117,0
13,1,2,38,-78,1,2,3,39,-79,0
7,3,1,34,-78,3,2,3,35,-78,0
9,1,1,39,-82,1,3,3,40,-82,0
10,1,1,40,-88,1,2,3,41,-87,0
7,1,1,41,-80,1,1,3,42,-79,0
12,2,1,45,-74,1,3,3,45,-73,0
7,1,1,41,-74,3,1,3,41,-73,0
12,1,1,30,-91,1,2,3,30,-91,0
10,1,2,39,-77,1,3,3,39,-77,0
5,1,2,32,-89,1,2,3,31,-90,0
12,1,1,37,-94,1,2,3,38,-93,0
13,1,1,33,-82,1,2,3,34,-81,0
12,1,2,31,-90,1,3,3,30,-91,0
14,1,1,41,-74,3,1,3,40,-74,0
13,1,2,41,-80,1,2,3,41,-80,0
12,1,1,42,-112,1,2,3,42,-113,0
10,1,1,42,-109,2,2,3,42,-109,0
10,1,2,43,-73,1,2,3,42,-73,0
10,1,1,40,-105,3,2,3,40,-105,0
5,1,2,40,-74,2,1,3,41,-75,0
13,1,2,37,-82,1,2,3,38,-82,0
10,1,2,39,-75,1,2,3,40,-75,0
10,1,1,44,-71,1,2,3,44,-71,0
14,1,2,35,-103,1,1,3,34,-102,0
9,1,2,45,-86,1,2,3,46,-86,0
3,2,1,26,-82,3,2,3,26,-82,0
8,1,1,34,-90,1,1,3,34,-89,0
11,1,1,48,-96,1,2,3,48,-97,0
14,1,2,42,-75,1,1,3,42,-74,0
8,1,1,42,-74,1,1,3,41,-75,0
13,1,2,29,-98,3,1,3,29,-99,0
13,1,2,36,-81,2,3,3,35,-81,0
13,1,1,39,-94,1,3,3,39,-94,0
11,1,2,43,-83,1,2,3,42,-83,0
13,2,1,41,-89,1,3,3,40,-89,0
14,2,1,31,-92,1,3,3,31,-92,0
14,1,1,47,-122,2,2,3,47,-123,0
3,1,2,33,-80,1,1,3,33,-81,0
8,1,1,34,-91,1,1,3,34,-92,0
14,1,1,44,-123,3,2,3,44,-123,0
3,1,2,44,-71,1,1,3,44,-71,0
13,1,1,34,-118,2,2,3,34,-118,0
12,2,1,40,-83,1,1,3,41,-82,0
12,1,1,45,-90,1,1,3,46,-90,0
9,2,2,41,-79,1,1,3,41,-79,0
9,1,2,45,-73,1,1,3,44,-73,0
13,1,1,40,-93,1,3,3,39,-93,0
3,1,2,41,-93,1,2,3,41,-92,0
12,1,1,33,-87,1,2,3,33,-86,0
14,1,2,34,-118,3,2,3,34,-119,0
3,1,1,41,-92,1,2,3,40,-92,0
13,1,2,38,-90,2,2,3,38,-91,0
13,1,1,40,-87,1,2,3,41,-88,0
12,2,2,38,-122,1,2,3,37,-121,0
14,1,1,34,-94,1,1,3,34,-93,0
13,1,2,44,-88,1,2,3,44,-89,0
13,1,2,45,-89,1,3,3,45,-90,0
13,1,2,33,-91,1,2,3,33,-90,0
7,2,2,47,-117,1,1,3,48,-116,0
14,2,1,36,-82,2,2,3,37,-82,0
7,1,2,33,-87,2,1,3,34,-87,0
12,1,1,46,-86,1,2,3,46,-86,0
13,1,2,41,-86,1,3,3,40,-86,0
9,1,2,42,-79,1,2,3,41,-79,0
3,1,1,34,-112,3,1,3,33,-113,0
14,1,1,41,-82,1,2,3,41,-81,0
3,1,2,42,-74,1,2,3,41,-74,0
14,1,1,34,-81,1,3,3,34,-80,0
3,1,1,42,-97,1,2,3,41,-96,0
12,2,2,39,-76,1,2,3,40,-76,0
13,2,1,39,-95,3,2,3,38,-95,0
5,1,1,38,-98,1,1,3,39,-98,0
13,1,1,42,-74,1,1,3,42,-73,0
9,1,2,28,-82,2,1,3,29,-82,0
12,1,1,32,-82,1,3,3,32,-82,0
12,1,1,41,-74,3,1,3,40,-74,0
9,1,1,35,-81,1,2,3,36,-81,0
14,1,1,41,-81,2,3,3,42,-80,0
11,1,2,41,-74,1,2,3,41,-73,0
7,3,2,35,-86,1,2,3,34,-85,0
13,2,2,41,-74,3,2,3,40,-74,0
13,1,1,39,-81,1,2,3,40,-82,0
13,2,1,32,-98,1,2,3,33,-98,0
7,1,2,36,-91,1,1,3,37,-92,0
10,1,2,42,-83,2,2,3,42,-82,0
3,1,2,30,-95,3,1,3,30,-94,0
12,1,2,36,-91,1,3,3,36,-92,0
8,1,2,44,-70,1,1,3,43,-70,0
9,1,2,48,-90,1,1,3,48,-90,0
12,2,2,36,-98,3,2,3,36,-98,0
13,1,2,31,-94,1,2,3,31,-94,0
9,1,2,43,-90,1,2,3,44,-90,0
11,2,2,39,-80,1,2,3,38,-80,0
14,1,1,39,-77,2,3,3,38,-76,0
3,1,2,40,-78,1,2,3,40,-79,0
7,1,1,36,-82,2,2,3,36,-82,0
5,1,2,36,-106,1,2,3,36,-106,0
8,1,1,33,-81,1,2,3,33,-82,0
12,1,1,41,-74,2,2,3,41,-75,0
5,1,1,48,-113,1,2,3,49,-112,0
12,1,1,30,-103,1,1,3,31,-104,0
13,1,1,34,-86,2,2,3,34,-86,0
11,1,1,34,-118,3,2,3,34,-118,0
8,1,1,30,-95,3,2,3,30,-96,0
5,1,1,47,-97,1,2,3,48,-97,0
8,1,1,30,-95,3,2,3,30,-96,0
7,1,1,39,-96,3,1,3,40,-96,0
13,1,1,30,-88,1,3,3,30,-88,0
10,1,1,41,-74,1,2,3,42,-75,0
7,1,1,46,-86,1,2,3,45,-86,0
3,2,1,40,-98,1,2,3,40,-99,0
14,1,2,41,-85,1,1,3,41,-85,0
10,1,1,46,-93,1,1,3,46,-93,0
14,2,1,31,-88,3,2,3,31,-88,0
13,1,2,42,-83,2,2,3,42,-82,0
12,1,1,48,-122,1,2,3,48,-122,0
13,1,1,41,-92,1,2,3,40,-92,0
11,1,1,28,-82,3,2,3,28,-81,0
9,1,2,42,-95,1,3,3,43,-95,0
11,1,1,38,-98,1,1,3,37,-97,0
5,1,1,34,-96,1,1,3,34,-96,0
10,2,1,41,-82,1,2,3,42,-82,0
11,1,2,43,-86,3,1,3,44,-85,0
14,1,2,33,-86,1,2,3,33,-86,0
14,2,1,40,-75,1,2,3,40,-75,0
13,1,2,39,-78,1,2,3,39,-78,0
13,1,1,34,-86,2,2,3,34,-86,0
11,1,1,32,-90,1,2,3,32,-90,0
2,1,1,46,-93,1,1,3,45,-93,0
14,1,2,41,-80,1,2,3,41,-80,0
8,1,2,43,-71,2,2,3,43,-71,0
13,1,1,37,-78,1,2,3,38,-78,0
10,1,2,41,-74,3,2,3,41,-74,0
7,1,1,43,-75,1,2,3,42,-74,0
3,1,1,30,-95,2,1,3,30,-95,0
12,2,2,40,-91,1,2,3,40,-92,0
12,1,2,33,-80,1,1,3,34,-80,0
13,2,2,38,-86,2,1,3,37,-86,0
12,1,2,34,-102,1,2,3,33,-101,0
13,1,2,36,-97,3,1,3,36,-98,0
13,1,2,43,-94,1,2,3,43,-94,0
7,2,2,40,-74,1,2,3,41,-75,0
13,2,1,39,-77,2,3,3,40,-76,0
12,1,2,30,-88,1,3,3,30,-88,0
9,1,1,41,-74,3,1,3,40,-75,0
13,2,1,40,-83,1,1,3,39,-84,0
5,1,2,31,-94,1,2,3,31,-95,0
12,1,1,34,-118,2,2,3,34,-119,0
10,2,2,40,-102,1,3,3,39,-102,0
13,1,2,46,-111,1,2,3,45,-111,0
14,1,2,45,-89,1,2,3,44,-89,0
11,1,1,32,-91,1,2,3,32,-92,0
10,1,2,48,-90,1,1,3,47,-90,0
12,1,1,40,-105,3,2,3,39,-105,0
13,1,1,38,-89,1,2,3,39,-88,0
1,1,2,33,-80,1,1,3,33,-79,0
3,1,1,49,-118,1,2,3,48,-118,0
13,1,1,41,-99,1,2,3,42,-98,0
13,1,1,37,-122,3,1,3,36,-121,0
3,1,1,41,-87,1,1,3,42,-87,0
9,1,2,43,-96,1,1,3,43,-96,0
12,1,1,33,-82,1,2,3,33,-82,0
9,1,1,41,-74,3,1,3,40,-74,0
14,1,1,42,-86,1,2,3,42,-87,0
14,1,1,39,-79,1,2,3,39,-79,0
9,1,2,43,-86,3,1,3,43,-87,0
8,1,2,35,-90,1,1,3,36,-90,0
14,1,2,41,-79,1,2,3,42,-79,0
11,1,2,41,-74,1,2,3,41,-75,0
10,1,1,44,-74,1,2,3,44,-74,0
14,1,2,41,-74,3,2,3,40,-74,0
10,1,1,41,-73,1,1,3,40,-73,0
14,1,1,40,-80,1,2,3,39,-80,0
9,1,1,44,-73,1,2,3,44,-73,0
7,1,2,39,-77,3,1,3,39,-76,0
9,1,2,35,-106,1,2,3,34,-106,0
9,1,1,42,-104,1,2,3,41,-104,0
7,1,2,28,-83,3,1,3,27,-83,0
8,1,1,41,-73,1,2,3,42,-73,0
13,1,1,37,-79,1,2,3,36,-78,0
3,1,2,30,-90,2,2,3,30,-91,0
8,1,1,42,-73,1,2,3,41,-74,0
12,1,1,37,-78,1,2,3,37,-77,0
12,1,1,41,-77,1,3,3,40,-77,0
12,1,1,44,-123,3,2,3,44,-122,0
14,1,1,41,-74,2,2,3,41,-74,0
7,1,1,46,-93,1,1,3,45,-93,0
10,1,2,42,-75,1,1,3,42,-76,0
12,2,1,42,-76,1,2,3,41,-76,0
8,1,1,28,-82,2,2,3,27,-82,0
12,1,2,45,-86,1,2,3,45,-87,0
13,2,1,44,-73,1,2,3,43,-74,0
10,1,2,43,-109,1,2,3,42,-110,0
3,1,2,44,-93,1,2,3,45,-93,0
10,1,1,37,-87,1,3,3,37,-87,0
10,1,1,34,-117,2,2,3,33,-118,0
7,2,1,49,-93,1,1,3,49,-93,0
10,1,1,44,-75,1,1,3,43,-75,0
12,1,2,42,-76,1,1,3,43,-76,0
12,1,1,30,-91,3,2,3,31,-92,0
10,1,2,34,-86,1,2,3,35,-86,0
14,1,2,46,-112,1,2,3,46,-112,0
13,1,1,34,-86,2,2,3,33,-86,0
7,1,1,37,-87,3,2,3,37,-88,0
13,1,2,38,-76,1,2,3,38,-76,0
13,1,1,37,-87,3,2,3,37,-87,0
9,1,1,36,-96,3,2,3,35,-95,0
9,1,1,27,-80,2,2,3,26,-79,0
9,1,2,44,-71,1,1,3,44,-71,0
13,1,2,39,-121,3,2,3,39,-121,0
10,1,2,38,-90,2,2,3,38,-90,0
1,1,2,38,-85,1,1,3,39,-86,0
10,2,2,33,-91,1,1,3,33,-91,0
13,1,1,47,-101,1,3,3,47,-101,0
7,1,1,41,-74,2,2,3,40,-74,0
13,1,1,39,-105,3,1,3,38,-106,0
12,1,2,37,-89,1,2,3,37,-89,0
8,1,2,40,-74,1,2,3,41,-74,0
9,1,2,47,-97,1,1,3,46,-97,0
13,1,2,42,-80,1,2,3,41,-81,0
7,1,1,39,-89,1,2,3,40,-89,0
11,1,1,32,-99,1,2,3,31,-100,0
14,2,1,26,-82,3,3,3,26,-82,0
14,2,2,43,-108,1,1,3,44,-108,0
12,1,2,32,-90,3,2,3,32,-89,0
9,1,2,49,-108,1,2,3,50,-109,0
8,1,2,33,-97,2,2,3,32,-97,0
14,1,1,34,-81,1,3,3,35,-80,0
5,1,2,42,-83,2,2,3,42,-84,0
12,1,1,38,-80,1,1,3,37,-81,0
9,1,2,35,-102,1,2,3,35,-102,0
3,1,1,41,-106,1,2,3,41,-107,0
10,1,2,43,-101,1,3,3,42,-101,0
10,1,1,42,-83,1,2,3,42,-84,0
12,1,1,33,-82,1,2,3,33,-82,0
10,1,1,39,-95,3,2,3,39,-95,0
13,2,1,37,-82,1,2,3,38,-81,0
7,2,1,40,-81,1,2,3,40,-81,0
12,1,1,40,-120,1,1,3,40,-121,0
7,3,1,41,-74,2,2,3,41,-75,0
12,1,2,43,-109,1,2,3,42,-109,0
13,1,2,39,-77,1,2,3,38,-78,0
3,2,1,41,-73,1,1,3,41,-72,0
5,1,1,41,-92,1,2,3,40,-92,0
9,1,1,39,-100,1,2,3,38,-100,0
8,1,1,32,-95,1,2,3,32,-96,0
14,1,1,40,-94,1,2,3,40,-94,0
5,1,1,27,-81,2,2,3,27,-81,0
14,1,2,41,-82,2,2,3,42,-81,0
13,1,2,33,-98,1,2,3,33,-98,0
14,2,2,44,-70,1,1,3,45,-69,0
8,1,2,28,-83,2,2,3,27,-82,0
7,1,2,41,-95,1,1,3,40,-95,0
3,1,2,38,-122,1,2,3,39,-122,0
8,1,1,35,-101,1,2,3,36,-101,0
13,1,2,44,-71,1,3,3,44,-70,0
3,2,1,46,-122,1,3,3,46,-122,0
13,1,2,41,-85,1,2,3,41,-85,0
12,1,2,43,-75,1,3,3,44,-75,0
12,1,1,41,-75,1,1,3,41,-75,0
5,1,1,41,-106,1,2,3,41,-107,0
7,1,1,41,-82,1,2,3,42,-82,0
8,3,1,35,-82,1,1,3,35,-83,0
8,1,2,41,-81,1,2,3,41,-81,0
8,1,1,43,-91,1,2,3,43,-91,0
7,1,1,36,-84,3,1,3,36,-83,0
13,1,1,41,-88,1,1,3,40,-87,0
12,1,2,40,-76,1,2,3,40,-77,0
12,2,1,45,-74,1,3,3,44,-75,0
12,2,1,44,-89,1,3,3,44,-89,0
14,1,1,34,-90,1,1,3,34,-90,0
9,1,1,41,-88,1,1,3,42,-88,0
12,1,2,30,-93,1,2,3,29,-93,0
5,1,1,34,-88,1,2,3,33,-87,0
5,1,1,33,-80,1,1,3,33,-80,0
14,1,1,41,-73,1,2,3,41,-72,0
12,1,1,33,-82,1,3,3,32,-82,0
8,1,1,40,-77,1,2,3,41,-77,0
10,1,1,35,-82,1,1,3,36,-83,0
12,3,1,48,-113,1,2,3,49,-113,0
13,1,2,36,-82,1,2,3,35,-81,0
12,1,1,36,-80,1,3,3,36,-79,0
5,1,1,42,-77,1,1,3,42,-77,0
14,1,1,32,-95,3,2,3,33,-95,0
9,1,2,46,-90,1,2,3,46,-90,0
12,1,2,45,-93,1,3,3,44,-92,0
3,1,2,30,-90,1,3,3,30,-90,0
3,1,1,45,-111,1,3,3,45,-111,0
9,1,2,39,-91,2,1,3,39,-91,0
14,1,2,39,-75,1,2,3,38,-76,0
3,1,2,25,-81,2,2,3,26,-82,0
10,1,2,41,-83,1,2,3,41,-82,0
10,1,2,40,-82,1,3,3,41,-82,0
9,1,1,33,-81,1,2,3,33,-82,0
13,1,2,46,-111,1,2,3,45,-111,0
8,1,1,40,-77,1,2,3,39,-76,0
13,2,1,33,-80,1,1,3,32,-80,0
8,2,2,32,-83,1,2,3,31,-83,0
5,3,2,44,-84,2,1,3,44,-83,0
8,1,1,46,-87,1,2,3,47,-86,0
13,1,1,38,-89,1,2,3,37,-88,0
12,1,1,34,-112,3,2,3,34,-112,0
9,1,1,41,-101,1,2,3,41,-102,0
5,1,2,41,-84,2,1,3,40,-85,0
3,2,1,30,-91,3,2,3,31,-91,0
10,1,2,28,-81,3,3,3,29,-80,0
12,1,1,26,-99,1,1,3,26,-100,0
12,1,1,40,-86,2,2,3,39,-86,0
8,1,1,28,-82,3,2,3,28,-83,0
14,1,1,35,-107,1,2,3,36,-106,0
14,1,1,44,-76,1,3,3,44,-77,0
9,1,1,42,-112,1,2,3,41,-112,0
10,1,2,45,-116,1,2,3,45,-116,0
10,3,1,31,-95,1,3,3,30,-95,0
5,3,2,43,-108,1,1,3,42,-108,0
13,1,1,44,-73,1,2,3,44,-73,0
5,3,2,40,-74,2,1,3,41,-74,0
11,1,2,29,-95,2,1,3,29,-95,0
3,1,1,34,-119,2,2,3,34,-118,0
3,1,1,42,-74,1,1,3,42,-75,0
11,1,1,41,-83,1,3,3,41,-83,0
3,1,2,35,-106,1,2,3,35,-106,0
13,1,2,45,-109,1,2,3,46,-108,0
5,1,1,33,-81,1,2,3,33,-82,0
8,1,1,36,-82,2,2,3,36,-83,0
11,1,1,41,-78,1,3,3,42,-78,0
10,1,1,39,-89,1,2,3,39,-90,0
12,1,2,39,-88,1,2,3,40,-88,0
8,1,1,37,-87,3,2,3,36,-88,0
14,1,1,32,-104,1,3,3,33,-105,0
10,1,2,44,-70,1,1,3,44,-70,0
10,1,2,41,-81,3,2,3,42,-82,0
14,1,2,41,-74,1,3,3,41,-74,0
13,1,2,39,-100,1,2,3,39,-100,0
14,1,1,43,-74,3,3,3,42,-74,0
8,1,1,39,-79,1,2,3,38,-78,0
9,1,1,41,-87,1,1,3,42,-87,0
13,2,2,38,-122,3,2,3,37,-123,0
13,1,2,29,-98,3,1,3,30,-98,0
7,1,1,37,-86,1,1,3,38,-86,0
10,1,2,41,-78,1,2,3,40,-79,0
3,2,1,41,-87,1,1,3,42,-88,0
14,1,2,40,-120,3,1,3,40,-119,0
3,1,2,36,-106,1,2,3,36,-105,0
12,1,2,33,-97,1,2,3,33,-97,0
14,2,2,42,-88,2,2,3,42,-88,0
10,1,2,42,-123,1,3,3,42,-122,0
5,1,2,25,-81,2,2,3,26,-81,0
11,1,1,40,-75,3,2,3,41,-74,0
1,1,1,40,-78,1,2,3,40,-77,0
10,1,2,43,-83,3,3,3,43,-82,0
10,1,2,39,-77,1,2,3,39,-77,0
8,2,1,41,-87,1,1,3,41,-87,0
8,1,1,41,-91,1,2,3,41,-91,0
12,1,2,44,-72,1,1,3,44,-72,0
13,1,1,35,-81,1,2,3,34,-82,0
9,1,1,37,-83,1,2,3,37,-82,0
13,1,1,41,-82,1,2,3,42,-82,0
14,1,1,42,-77,1,1,3,42,-76,0
12,1,2,43,-77,1,3,3,42,-78,0
14,1,1,39,-81,1,2,3,39,-81,0
3,1,2,42,-83,3,2,3,43,-82,0
14,1,2,30,-90,1,3,3,30,-90,0
11,1,2,38,-90,2,2,3,37,-89,0
12,1,1,41,-74,1,3,3,40,-75,0
12,1,2,44,-85,1,3,3,45,-86,0
13,3,1,34,-117,2,2,3,34,-116,0
5,1,1,46,-101,1,1,3,46,-102,0
13,1,1,43,-105,1,2,3,43,-104,0
8,1,1,41,-74,2,2,3,41,-74,0
5,1,1,41,-75,3,1,3,41,-76,0
10,1,1,41,-74,3,2,3,41,-74,0
8,1,1,36,-84,3,1,3,37,-84,0
12,1,1,32,-97,1,1,3,32,-97,0
10,1,1,30,-95,2,1,3,31,-95,0
10,1,2,40,-93,1,2,3,41,-93,0
10,1,1,31,-84,1,3,3,31,-85,0
9,1,2,44,-70,1,1,3,44,-70,0
11,1,1,40,-80,1,3,3,39,-79,0
9,1,1,40,-89,1,2,3,39,-88,0
3,1,2,38,-112,1,2,3,39,-113,0
5,3,1,41,-87,1,1,3,41,-88,0
11,1,2,45,-88,1,2,3,45,-88,0
3,1,2,41,-85,1,1,3,41,-86,0
8,2,2,47,-117,1,1,3,48,-117,0
13,1,2,44,-72,1,1,3,44,-72,0
13,1,2,25,-81,2,2,3,24,-82,0
12,2,2,34,-90,1,2,3,35,-90,0
9,2,1,31,-84,1,3,3,30,-85,0
13,1,2,35,-86,1,2,3,35,-86,0
3,2,1,37,-105,1,2,3,37,-106,0
9,1,2,41,-72,1,2,3,40,-72,0
13,1,2,27,-82,2,2,3,26,-82,0
9,2,2,28,-83,3,1,3,27,-83,0
3,1,2,41,-86,1,3,3,40,-85,0
3,1,1,33,-87,1,2,3,32,-86,0
13,2,1,32,-86,1,3,3,32,-86,0
8,1,2,42,-74,1,1,3,42,-74,0
14,1,2,44,-69,1,2,3,45,-68,0
3,1,2,42,-78,1,2,3,43,-79,0
13,2,2,39,-121,3,2,3,38,-121,0
12,1,1,42,-73,1,2,3,42,-73,0
7,1,1,34,-96,1,1,3,35,-97,0
7,1,1,32,-97,1,1,3,33,-97,0
5,1,1,40,-110,1,1,3,40,-110,0
3,1,2,35,-112,1,3,3,35,-113,0
13,1,2,41,-74,3,1,3,42,-74,0
12,2,1,35,-89,1,2,3,35,-89,0
7,1,1,40,-83,1,1,3,39,-82,0
13,1,1,38,-101,1,1,3,38,-101,0
13,2,2,43,-83,3,2,3,43,-82,0
3,1,1,43,-77,1,2,3,44,-77,0
11,1,1,41,-75,1,1,3,41,-74,0
